Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	12 , a study from the university of british columbia -lrb- ubc -rrb- proposed that closes the high seas would not only have the importance of the problem .	EncDecA	1	1	1	1
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	12 , a study from the university of british columbia -lrb- ubc -rrb- proposed that closes the high seas would not only have the importance .	DRESS	3	3	2	3
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	a study from the university of british columbia -lrb- ubc -rrb- proposed the high seas .	S2S-All-FA	3	1	3	1
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	they would not only have ecological and economic benefits .	EditNTS	4	2	4	2
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	the university of columbia -lrb- ubc -rrb- proposed the plan that would not have good benefits .	Transformer	3	1	3	1
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	not , a study from the seas -lrb- would -rrb- .	DMASS	1	1	1	1
12 , a study from the University of British Columbia -LRB- UBC -RRB- proposed that closing the high seas would not only have ecological and economic benefits but social advantages as well .	a study from the university of british columbia -lrb- ubc -rrb- proposed that closing the high seas would not only have an ecological and economic benefits .	BERT	3	3	2	3
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest avocado state in the nation .	Reference	4	3	4	3
Florida is the second-largest avocado-producing state , behind California .	florida is making it the second-largest avocado-producing state , california .	PBMT-R	2	2	1	2
Florida is the second-largest avocado-producing state , behind California .	florida is the .	Hybrid	1	1	1	1
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest avocado-producing state , behind california .	EncDecA	4	4	2	4
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest avocado-producing state .	DRESS	4	3	4	3
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest author .	S2S-All-FA	4	1	4	1
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest avocado-producing state in the u.s. .	EditNTS	4	3	4	3
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest-producing state , which is the second-largest increase in california .	Transformer	1	1	1	1
Florida is the second-largest avocado-producing state , behind California .	avocado-producing is the slum near state .	DMASS	1	1	1	1
Florida is the second-largest avocado-producing state , behind California .	florida is the second-largest florida state .	BERT	2	1	2	1
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	popcorn has a scientific name : zea mays everta .	Reference	4	3	4	3
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	the carefully as zea everta mays , popcorn is the only type of corn that pops .	PBMT-R	3	3	2	3
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	, popcorn is the type .	Hybrid	1	1	1	1
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	it is the only type of corn that pops .	EncDecA	3	4	4	3
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	it is the only type of corn that pops .	DRESS	3	4	4	3
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	known , it 's the only type of corn that pops .	S2S-All-FA	3	3	3	3
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	known scientifically as zea mays everta , popcorn is the only type of corn .	EditNTS	3	2	2	2
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	the type is the only type of popcorn that pops in the corn .	Transformer	2	4	4	2
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	type is the only of to that .	DMASS	1	1	1	1
Known scientifically as Zea mays everta , popcorn is the only type of corn that pops .	it is known as zea may everta .	BERT	4	2	4	2
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	to earn extra money , manuel worked different jobs .	Reference	4	3	4	3
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , manuel earned extra money as a server in restaurants , color hair at a spa , bringing spanish , working in a rock to catch and building fences at a ranch .	PBMT-R	1	2	1	1
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	manuel money earned coloring hair , translating spanish , and working .	Hybrid	3	2	3	2
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , manuel earned extra money as a server in restaurants , translating spanish , working in a rock quarry and building cages at a ranch .	EncDecA	4	3	2	3
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , manuel earned extra money as a server in restaurants .	DRESS	4	2	4	2
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , manuel earned extra money as a chinese-painting in restaurants .	S2S-All-FA	1	1	1	1
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	manuel earned extra money to hair at a spanish ranch .	EditNTS	1	1	1	1
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , he earned extra money as a coloring .	Transformer	2	1	3	1
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , earned offers money as a and in food , spanish both at a golden-paged , translating game , built in a rock .	DMASS	1	1	1	1
Instead , Manuel earned extra money as a server in restaurants , coloring hair at a spa , translating Spanish , working in a rock quarry and building fences at a ranch .	instead , manuel earned extra money .	BERT	4	2	4	2
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the movie has a song called '' glory . ''	Reference	4	3	4	3
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the inspiring song , '' his , '' is the main part of the oscar-nominated movie '' selma . ''	PBMT-R	2	1	2	1
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	stirring the song '' glory '' is the centerpiece . ''	Hybrid	3	2	4	2
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	it is the musical centerpiece of the oscar-nominated movie '' selma . ''	EncDecA	4	3	4	3
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the upbeat song , '' glory , '' is the musical centerpiece of the oscar-nominated movie '' selma . ''	DRESS	4	3	3	3
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the song is the musical centerpiece of the music '' selma . ''	S2S-All-FA	3	2	4	3
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the movie '' selma . ''	EditNTS	4	1	4	1
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the song ' glory , '' the musical ' the centerpiece of the movie ' selma ' movie '' '' '' ' " love , " is the musical centerpiece of the musical -lrb- of the musical -rrb-piece-of the musical-of the famous movie ' selma ' selma ' movie ' gold-.	Transformer	1	1	1	1
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the song is the song of the ' movie selma centerpiece oscanominated musical . stirring	DMASS	1	1	1	1
The stirring song , '' Glory , '' is the musical centerpiece of the Oscar-nominated movie '' Selma . ''	the stirring song , ' glory , " is the musical centerpiece of the oscar 's selma movie ' selma '	BERT	2	3	2	3
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , the university of british columbia released a report .	Reference	4	2	4	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , a study from the university of british columbia ubc -rrb- said this would have ecological , economic and social benefits .	PBMT-R	4	4	2	4
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	a study suggested this would have , and benefits .	Hybrid	1	1	1	1
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in january , a study from the university of british columbia -lrb- ubc -rrb- suggested this would have the importance .	EncDecA	3	2	4	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in september , a study from the university of british columbia -lrb- ubc -rrb- suggested this would have the importance .	DRESS	3	2	2	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , a study from the university of british columbia -lrb- ubc -rrb- suggested this would have problems , economic and social benefits .	S2S-All-FA	2	2	1	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , a study from the university of british columbia -lrb- ubc -rrb- said .	EditNTS	2	2	3	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , a study from the university of columbia -lrb- u . -rrb- suggested this would have suggested economic benefits , and social benefits .	Transformer	2	2	2	2
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	this would have economic , considering the benefits -lrb- ecological -rrb- , the suggested -lrb- ubc -rrb- added this would have study , technical and social programs .	DMASS	1	1	1	1
Earlier in February , a study from the University of British Columbia -LRB- UBC -RRB- suggested this would have ecological , economic and social benefits .	earlier in february , a british study suggested this would have an economic and social benefits .	BERT	4	2	4	2
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the united states wants to build a new top-secret warplane .	Reference	4	3	4	3
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the military hopes to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the windy desert communities in los angeles county 's northern reaches .	PBMT-R	4	4	2	4
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the pentagon is poised to spend billions to build a bomber , a project that could bring hundreds .	Hybrid	2	2	1	2
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the pentagon is hoping to spend billions to build a new predator bomber .	EncDecA	4	3	4	3
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the pentagon is trying to spend billions to build a new drone .	DRESS	4	1	4	1
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the pentagon is trying to spend billions of jobs .	S2S-All-FA	2	1	2	1
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the pentagon is poised to spend billions to build .	EditNTS	3	2	3	2
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the u . s . military is planning to build a new bomber .	Transformer	4	3	4	3
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the is might cost hundreds of jobs to the stealth wilderness in bomber .	DMASS	1	1	1	1
The Pentagon is poised to spend billions to build a new stealth bomber , a top secret project that could bring hundreds of jobs to the wind-swept desert communities in Los Angeles County 's northern reaches .	the military is looking for jobs to create hundreds of jobs .	BERT	1	1	1	1
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the movie has a song called '' glory . ''	Reference	4	2	4	2
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the inspiring , '' his '' is the main part of the 2014 oscar-nominated movie '' selma . ''	PBMT-R	2	1	2	1
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the stirring '' glory '' is the centerpiece 2014 . ''	Hybrid	2	1	2	1
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the stirring '' glory '' is the musical centerpiece of the 2014 oscar-nominated movie '' selma . ''	EncDecA	4	4	2	4
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the stirring '' glory '' is the musical centerpiece of the 2014 oscar-nominated movie .	DRESS	4	3	3	4
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	it is the musical wall '' selma . ''	S2S-All-FA	2	1	2	1
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the stirring '' glory '' is an important part of the movie .	EditNTS	4	3	4	3
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the cs ' glory ' musical is the centerpiece of the 2014-nominated movie ' selma '' '' ' gold .	Transformer	1	2	1	2
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the song ' glory is the song of the oscanominated movie film selma centerpiece musical . stirring	DMASS	1	1	1	1
The stirring '' Glory '' is the musical centerpiece of the 2014 Oscar-nominated movie '' Selma . ''	the stirring ' glory is a special place .	BERT	3	1	3	1
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor handwriting and hurried writing make their job challenging .	Reference	4	3	4	4
Poor handwriting and hurried script can make their job challenging , Henrikson said .	as it and hurried script can make their job henrikson challenging , said .	PBMT-R	1	1	1	1
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor handwriting and hurried script can make job henrikson said .	Hybrid	2	2	2	2
Poor handwriting and hurried script can make their job challenging , Henrikson said .	it can make their job difficult , henrikson said .	EncDecA	4	2	4	3
Poor handwriting and hurried script can make their job challenging , Henrikson said .	the hurried screen can make their job difficult , henrikson said .	DRESS	3	1	2	1
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor writing can make their job difficult , henrikson said .	S2S-All-FA	4	3	3	3
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor handwriting and hurried script can make their job difficult , henrikson said .	EditNTS	4	4	2	4
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor handwriting and handwriting can make their job challenging for the bank .	Transformer	3	2	2	2
Poor handwriting and hurried script can make their job challenging , Henrikson said .	script said that having their job ideas and make people do n't have a hard time .	DMASS	1	1	1	1
Poor handwriting and hurried script can make their job challenging , Henrikson said .	poor handwriting and hurried script can make it difficult to work , mendoza said .	BERT	3	3	2	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest avocado state in the nation .	Reference	4	3	4	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest avocado-producing state led california and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , about 66 million pounds , according to the state 's avocado committee .	PBMT-R	2	3	2	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the florida or expected .	Hybrid	1	1	1	1
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest avocado-producing state behind california .	EncDecA	4	3	4	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest avocado-producing state behind california .	DRESS	4	3	4	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	they are expected to harvest somewhere between 1 million and 1.2 million pounds .	S2S-All-FA	4	3	4	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest avocado-producing state behind california .	EditNTS	4	3	4	3
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest increase in the state of california .	Transformer	1	1	1	1
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	to is the second-largest 1.2 state agency .	DMASS	1	1	1	1
Florida is the second-largest avocado-producing state behind California and is expected to harvest somewhere between 1 million and 1.2 million bushels this year , or about 66 million pounds , according to the state 's Avocado Committee .	florida is the second-largest bird producing state behind california .	BERT	4	1	4	1
Obama said that while times have changed , problems still remain .	times have changed since the 1960s , obama said .	Reference	4	1	2	1
Obama said that while times have changed , problems still remain .	obama said that much has changed , problems still remain .	PBMT-R	3	3	2	3
Obama said that while times have changed , problems still remain .	obama said that times have changed problems remain .	Hybrid	3	4	2	4
Obama said that while times have changed , problems still remain .	obama said that while times have changed , problems still remain .	EncDecA	4	4	2	4
Obama said that while times have changed , problems still remain .	obama said that while times have changed , problems still remain .	DRESS	4	4	2	4
Obama said that while times have changed , problems still remain .	obama said his problems still remain .	S2S-All-FA	4	1	2	1
Obama said that while times have changed , problems still remain .	obama said times they have changed , problems still remain .	EditNTS	3	4	2	4
Obama said that while times have changed , problems still remain .	obama said that times have changed .	Transformer	3	3	4	3
Obama said that while times have changed , problems still remain .	yet , while said that more rules are needed , problems still remain .	DMASS	2	2	2	2
Obama said that while times have changed , problems still remain .	obama said that while times have changed , problems still remain .	BERT	4	4	2	4
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	ten-year-old wesley pope shot down the hill on his sled .	Reference	4	2	3	2
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	as 10-year-old wesley pope bombed down a snow-packed hill one afternoon , though , his father russell smiled .	PBMT-R	3	3	2	3
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	wesley pope bombed down a hill snow-packed russell smiled .	Hybrid	2	1	2	2
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	as 12-year-old wesley pope struck down a snow-packed hill one afternoon , his father russell collapsed .	EncDecA	3	1	2	1
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	as her wesley pope was shot down a snow-packed hill one afternoon , his father russell .	DRESS	2	2	2	2
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	as 10-yeaold wesley pope bombed a hill boy afternoon , his father was killed .	S2S-All-FA	1	1	1	1
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	his father russell smiled , is a doctor .	EditNTS	3	1	2	1
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	he was just one of his father 's .	Transformer	2	1	3	1
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	as smiled bombed afternoon down a russell fan one week , his father hill .	DMASS	1	1	1	1
As 10-year-old Wesley Pope bombed down a snow-packed hill one afternoon , his father Russell smiled .	his father russell smiled .	BERT	4	1	4	1
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	ten-year-old wesley pope shot down the hill on his sled .	Reference	4	2	4	2
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-year-old son , actor wesley , bombed a snow-packed hill monday afternoon , russell pope smiled .	PBMT-R	4	3	2	3
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	wesley bombed snow-packed down a hill . russell pope smiled	Hybrid	1	2	2	2
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-year-old son , wesley , attacked down a snow-packed hill thursday afternoon , russell pope smiled .	EncDecA	3	3	2	3
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-year-old son , wesley , attacked down a snow-packed hill .	DRESS	2	2	2	2
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-yeaold son , wesley , fired down a hill on monday afternoon .	S2S-All-FA	2	3	3	3
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	wesley is bombed down a snow-packed hill monday afternoon , russell pope smiled .	EditNTS	2	1	2	1
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-year-old son , wesley snow a afternoon , his 10-year-old son , wesley , bombed a snow down monday afternoon .	Transformer	1	1	1	1
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his teammates left a russell pope honor on smiled , hill , monday .	DMASS	1	1	1	1
As his 10-year-old son , Wesley , bombed down a snow-packed hill Monday afternoon , Russell Pope smiled .	as his 10-year-old son , wesley , bombed down a snow-packed hill .	BERT	3	3	4	3
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he sent henson to take his slaves to kentucky .	Reference	4	3	4	3
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put henson in charge of escorting his slaves to his brother 's farm in kentucky .	PBMT-R	4	4	2	4
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	henson he put in charge of escorting slaves .	Hybrid	3	3	4	3
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put henson in charge of escorting his slaves to his brother 's farm in kentucky .	EncDecA	4	4	2	4
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put henson in charge of escorting his slaves to his brother 's farm .	DRESS	4	4	2	4
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	henson put out his slaves to his brother 's farm in kentucky .	S2S-All-FA	4	1	2	1
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put henson in charge of escorting his slaves .	EditNTS	4	3	4	3
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put henson in charge of slaves to his brother 's farm in kentucky .	Transformer	3	3	2	3
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he put brother in charge of 's to help get rid of the laws .	DMASS	1	1	1	1
He put Henson in charge of escorting his slaves to his brother 's farm in Kentucky .	he ordered the officers to his brother 's farm in kentucky .	BERT	4	1	4	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	the movie has a song called '' glory . ''	Reference	4	1	4	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	in the middle of the inspiring '' his , '' the main part of the oscar-nominated movie '' selma , '' chicago rapper common delivers a terse answers how words melody and a protest fused together in the civil rights movement .	PBMT-R	2	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	'' the centerpiece '' chicago rapper common delivers a terse summation melody merged , a protest .	Hybrid	1	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	glory , oscar-nominated , terse summation of how words , rhythm and a protest became during the civil-rights movement .	EncDecA	1	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	'' oscar-nominated movie '' the oscar-nominated movie '' selma , '' chicago journalist wrote .	DRESS	1	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	in the middle of the speech , '' selma , '' chicago rapper common delivers a girl .	S2S-All-FA	3	1	4	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	chicago rapper common delivers a terse summation of how words .	EditNTS	2	1	3	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	the group sends a common words that delivers books and words to the movie ' words .	Transformer	1	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	of selma ' common rapper delivers , chicago the guy includes the print equations .	DMASS	1	1	1	1
In the midst of the stirring '' Glory , '' the musical centerpiece of the Oscar-nominated movie '' Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	in the middle of the stirring ' glory , ' the musical centerpiece of the oscar-nominated movie ' chicago rapper common ' chicago rapper frank and a protest during the civil rights movement .	BERT	2	2	1	2
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-year-old wesley pope shot down the hill on his sled .	Reference	4	3	4	4
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-year-old wesley pope jumped on a great sled and bombed down a snow-packed hill for safety .	PBMT-R	2	1	1	1
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-year-old wesley pope jumped bombed snow-packed down a hill .	Hybrid	2	2	1	2
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-year-old wesley pope jumped on a sled and bombed down a snow-packed hill .	EncDecA	4	4	2	4
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-year-old wesley pope jumped on a sled and bombed down a snow-packed hill .	DRESS	4	4	2	4
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	wesley pope jumped on a sled and bombed .	S2S-All-FA	4	2	4	2
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	he pope his family on a sled and bombed .	EditNTS	1	1	1	1
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	he went down a packed snow-year-old wesley , who was only 17 years old .	Transformer	1	1	1	1
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	ten-yeaold wesley pope suffered on a wall and causing trip a snow-packed hill .	DMASS	1	1	1	1
Ten-year-old Wesley Pope jumped on a sled and bombed down a snow-packed hill .	he was hit by a sled and bombed down a snow-packed hill .	BERT	4	1	2	1
By 1825 , Riley was beset by business problems , and , his property at risk , he put Henson in charge of escorting his slaves to his brother 's Kentucky plantation .	he sent henson to take his slaves to kentucky .	Reference	4	2	4	2
By 1825 , Riley was beset by business problems , and , his property at risk , he put Henson in charge of escorting his slaves to his brother 's Kentucky plantation .	by 1825 , riley was on business , , his property at risk , he put henson in charge of escorting his slaves to his brother 's kentucky plantation .	PBMT-R	1	2	2	2
By 1825 , Riley was beset by business problems , and , his property at risk , he put Henson in charge of escorting his slaves to his brother 's Kentucky plantation .	riley was beset property henson he put in charge of escorting slaves .	Hybrid	1	2	3	2
By 1825 , Riley was beset by business problems , and , his property at risk , he put Henson in charge of escorting his slaves to his brother 's Kentucky plantation .	by 1825 , riley was upset by business problems , and , he put henson in charge of escorting his slaves to his brother 's kentucky plantation .	EncDecA	4	3	2	4
